RUN	pokemonapi.PokemonApiTest	pokemonapitest	1720478138000	 	3.11.3
USER	Pokemon API Test	START	1720478162506
REQUEST		Get Pikachu	1720478162507	1720478162524	OK	 
USER	Pokemon API Test	END	1720478162525
USER	Pokemon API Test	START	1720478162556
REQUEST		Get Pikachu	1720478162557	1720478162580	OK	 
USER	Pokemon API Test	END	1720478162582
USER	Pokemon API Test	START	1720478162607
REQUEST		Get Pikachu	1720478162607	1720478162629	OK	 
USER	Pokemon API Test	END	1720478162632
USER	Pokemon API Test	START	1720478162657
REQUEST		Get Pikachu	1720478162657	1720478162681	OK	 
USER	Pokemon API Test	END	1720478162685
USER	Pokemon API Test	START	1720478162706
REQUEST		Get Pikachu	1720478162707	1720478162728	OK	 
USER	Pokemon API Test	END	1720478162732
USER	Pokemon API Test	START	1720478162756
REQUEST		Get Pikachu	1720478162757	1720478162777	OK	 
USER	Pokemon API Test	END	1720478162778
USER	Pokemon API Test	START	1720478162806
REQUEST		Get Pikachu	1720478162807	1720478162831	OK	 
USER	Pokemon API Test	END	1720478162837
USER	Pokemon API Test	START	1720478162856
REQUEST		Get Pikachu	1720478162857	1720478162883	OK	 
USER	Pokemon API Test	END	1720478162886
USER	Pokemon API Test	START	1720478162906
REQUEST		Get Pikachu	1720478162907	1720478162931	OK	 
USER	Pokemon API Test	END	1720478162934
USER	Pokemon API Test	START	1720478162957
REQUEST		Get Pikachu	1720478162957	1720478162978	OK	 
USER	Pokemon API Test	END	1720478162983
USER	Pokemon API Test	START	1720478163007
REQUEST		Get Pikachu	1720478163007	1720478163025	OK	 
USER	Pokemon API Test	END	1720478163027
USER	Pokemon API Test	START	1720478163057
REQUEST		Get Pikachu	1720478163057	1720478163080	OK	 
USER	Pokemon API Test	END	1720478163083
USER	Pokemon API Test	START	1720478163117
REQUEST		Get Pikachu	1720478163117	1720478163139	OK	 
USER	Pokemon API Test	END	1720478163143
USER	Pokemon API Test	START	1720478163157
REQUEST		Get Pikachu	1720478163157	1720478163183	OK	 
USER	Pokemon API Test	END	1720478163186
USER	Pokemon API Test	START	1720478163207
REQUEST		Get Pikachu	1720478163207	1720478163228	OK	 
USER	Pokemon API Test	END	1720478163231
USER	Pokemon API Test	START	1720478163257
REQUEST		Get Pikachu	1720478163257	1720478163276	OK	 
USER	Pokemon API Test	END	1720478163277
USER	Pokemon API Test	START	1720478163307
REQUEST		Get Pikachu	1720478163307	1720478163327	OK	 
USER	Pokemon API Test	END	1720478163330
USER	Pokemon API Test	START	1720478163357
REQUEST		Get Pikachu	1720478163357	1720478163377	OK	 
USER	Pokemon API Test	END	1720478163380
USER	Pokemon API Test	START	1720478163407
REQUEST		Get Pikachu	1720478163407	1720478163427	OK	 
USER	Pokemon API Test	END	1720478163432
USER	Pokemon API Test	START	1720478163457
REQUEST		Get Pikachu	1720478163457	1720478163484	OK	 
USER	Pokemon API Test	END	1720478163487
USER	Pokemon API Test	START	1720478163507
REQUEST		Get Pikachu	1720478163507	1720478163523	OK	 
USER	Pokemon API Test	END	1720478163525
USER	Pokemon API Test	START	1720478163557
REQUEST		Get Pikachu	1720478163557	1720478163585	OK	 
USER	Pokemon API Test	END	1720478163589
USER	Pokemon API Test	START	1720478163607
REQUEST		Get Pikachu	1720478163607	1720478163627	OK	 
USER	Pokemon API Test	END	1720478163631
USER	Pokemon API Test	START	1720478163657
REQUEST		Get Pikachu	1720478163657	1720478163681	OK	 
USER	Pokemon API Test	END	1720478163684
